"CODE_RPA","DESCRIPTION_RPA"
"SLR-ST-21","SAUF AUTOBUS SCOLAIRE - JOURS DE CLASSE"
"SLR-ST-210","\p 08h - 12h jeudi 1er mars - 1er déc"
"SLR-ST-211","\p 13h - 17h jeudi 1er mars - 1er déc"
"SLR-ST-22","8H à 17H - JOURS DE CLASSE - SAUF AUTOBUS SCOLAIRE"
"SLR-ST-23","7H30 À 18H00 JOURS DE CLASSE"
"SLR-ST-24","8H À 17H30 JOURS DE CLASSE"
"SLR-ST-25","9H00 à 15H30 JOURS DE CLASSE"
"SLR-ST-26","9H À 17H JOURS DE CLASSE"
"SLR-ST-27","6H à 12H LUNDI"
"SLR-ST-28","7H à 13H LUNDI"
"SLR-ST-29","9H à 11H - LUNDI - ENTRETIEN"
"SLR-ST-30","9H à 11H - LUNDI - 15 AVR - 15 NOV"
"SLR-ST-31","9H À 11H LUNDI 15 AVR - 15 NOV ENTRETIEN"
"SLR-ST-32","9H00 à 12H00 LUNDI"
"SLR-ST-33","9H à 12H - LUNDI - 15 AVR au 15 NOV"
"SLR-ST-34","9H à 12H - LUNDI - 15 AVR au 15 NOV - ENTRETIEN"
"SLR-ST-35","7H à 12H MARDI"
"SLR-ST-36","7H à 14H MARDI"
"SLR-ST-37","8H à 12H MARDI"
"SLR-ST-38","8H à 16H30 - MARDI - ENTRETIEN"
"SLR-ST-39","9H À 11H MARDI ENTRETIEN"
"SLR-ST-40","9H À 11H MARDI 15 AVR - 15 NOV"
"SLR-ST-41","9H00 à 12H00 MARDI"
"SLR-ST-42","9H À 12H - MARDI - 15 AVR AU 15 NOV"
"SLR-ST-43","9H À 12H - MARDI - 15 AVR AU 15 NOV - ENTRETIEN"
"SLR-ST-44","9H À 15H MARDI"
"SLR-ST-45","13H00 À 14H00 MARDI 15 AVR - 15 NOV"
"SLR-ST-46","13H À 15H MARDI 15 MARS - 15 NOVEMBRE - ENTRETIEN"
"SLR-St-47","13H À 17H MARDI"
"SLR-ST-48","8H à 12H - MERCREDI"
"SLR-ST-49","13H à 15H MERCREDI 15 MRS - 15 NOV. ENTRETIEN"
"SLR-ST-51","13H À 17H MERCREDI"
"SLR-ST-52","8H À 12H - JEUDI"
"SLR-ST-53","12H À 16H JEUDI"
"SLR-ST-54","13H À 16H - JEUDI - 15 AVR - 15 NOV"
"SLR-ST-55","7H À 15H VENDREDI"
"SLR-ST-56","7H À 12H VENDREDI"
"SLR-ST-57","8H00 À 9H00 LUN ET MER 15 MARS À 15 NOV - ENTRETIEN"
"SLR-ST-58","13H À 14H - LUN ET MER - 15 MARS AU 15 NOV - ENTRETIEN"
"SLR-ST-59","7H À 12H LUN ET JEU"
"SLR-ST-60","7H À 12H LUN ET JEU (NON CONFORME)"
"SLR-ST-61","8H À 17H LUNDI JEUDI 3 MÈTRES"
"SLR-ST-63","LUN MER VEN"
"SLR-ST-65","8H À 16H30 - LUN MER VEN"
"SLR-ST-66","8H À 17H LUN MER VEN 15 NOV - 15 AVR"
"SLR-ST-68","8H À 17H - LUN MER VEN"
"SLR-ST-69","8H À 17H LUN MER VEN 1er SEPT AU 31 MAI"
"SLR-ST-70","8H À 18H LUN MER VEN"
"SLR-ST-71","8H À 19H LUN MER VEN"
"SLR-ST-74","9H À 12H 14H à 17H LUN MER VEN"
"SLR-ST-75","9H À 17H LUN MER VEN 15 NOV AU 15 MARS, 11H À 12H MERCREDI 15 MARS AU 15 NOV"
"SLR-ST-76","13H À 17H LUN MER VEN 15 AVR - 15 NOV"
"SLR-ST-77","13H À 17H LUN MER VEN   "
"SLR-ST-78","18H À 24H LUN MER VEN"
"SLR-ST-79","8H À 12H LUN MER VEN 13H À 18H MAR JEU"
"SLR-ST-80","LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H"
"SLR-ST-81","LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H"
"SLR-ST-82","LUN MER VEN 8H À 12H - MAR JEU 13H À 17H"
"SLR-ST-83","LUN MER VEN DIM"
"SLR-ST-84","LUN MER VEN 8H À 12H - MAR JEU 14H À 17H"
"SLR-ST-86","8H00 À 9H00 MAR ET JEU 15 MARS AU 15 NOV ENTRETIEN"
"SLR-ST-87","8H À 12H MAR JEU"
"SLR-ST-88","8H À 16H30 - MAR JEU"
"SLR-ST-89","8H À 17H MAR JEU"
"SLR-ST-90","8H À 17H MAR JEU 15 AVR - 15 NOV"
"SLR-ST-91","8H À 17H MAR JEU 1er SEPT AU 31 MAI"
"SLR-ST-93","8H À 18H MAR JEU"
"SLR-ST-94","8H À 19H MAR JEU"
"SLR-ST-95","9H À 12H MAR JEU"
"SLR-ST-96","9H À 12H MAR JEU 15 AVR AU 15 NOV"
"SLR-ST-98","9H À 17H MAR JEU 15 NOV AU 15 MARS - 11H À 12H JEUDI 15 MARS AU 15 NOV"
"SLR-ST-99","13H À 14H MAR ET JEU 15 MARS AU 15 NOV - ENTRETIEN"
"SLR-TOPONYME-BLANC","PANONCEAU AVEC DE LA TOPONYMIE OU DU TEXTE SPÉCIFIQUE (BLANC) - PHOTO DISPONIBLE"
"SLR-TOPONYME-BLEU","PANONCEAU AVEC DE LA TOPONYMIE OU DU TEXTE SPÉCIFIQUE (BLEU) - PHOTO DISPONIBLE"
"SLR-TOPONYME-VERT","PANONCEAU AVEC DE LA TOPONYMIE OU DU TEXTE SPÉCIFIQUE (VERT) - PHOTO DISPONIBLE"
"SLR-VE-01","CYCLISTES TRAVERSEZ À PIED"
"SLR-VE-02","Voie réservée aux cyclistes sur - (50m)"
"SLR-VE-03","Voie réservée aux cyclistes sur - (75m)"
"SLR-WY-Z","PANONCEAU 50m"
"SM-JB","\P 8h-16h LUN A VEN EXCEPTE LIVRAISON VEHICULES COMMERCIAUX"
"SPVM-CAM","VIDEO SURVEILLANCE - SPVM"
"SS-AA","\P 9h30-11h LUN A SAM"
"SS-JA","\P 07h-19h LUN. AU SAM."
"SS-JB","\P 08h-16h LUN. AU SAM."
"SS-JC","\P 08h-17h LUN. AU SAM."
"SS-JD","\P 08h-19h LUN. AU SAM."
"SS-JE","\P 07h30-18h LUN. AU SAM."
"SS-JF","\P 09h-16h LUN A SAM"
"SS-JH","\P 07h30-19h LUN A SAM"
"SS-JL","\P 09h-21h LUN A SAM"
"SS-JM","\P 07h-16h LUN A VEN ET 07h-12h SAMEDI"
"SS-JN","\P 08h-15h30 LUN A SAM"
"SS-JQ","\P 09h30-16h LUN. AU SAM."
"SS-JS","\P 09h30-18h LUN. AU SAM."
"SS-JT","\P 07h-15h30 LUN A SAM"
"SS-OC","\P 07h-18h LUN. AU SAM."
"SS-OD","\P 08h-18h LUN. AU SAM."
"SS-OG","\P 09h30-15h30 LUN. AU SAM."
"ST-AA","\P 06h-07h LUN. MER. VEN. 1 MARS AU 1 DEC."
"ST-AD-A","\P 07h-08h LUN. MER. VEN. 1 AVRIL AU 1 DEC."
"ST-AE","\P 07h30-08h30 LUN. MER. VEN. 1 MARS AU 1 DEC."
"ST-AL","\P 09h30-10h30 LUN. MER. JEU. 1 MARS AU 1 DEC."
"ST-AL-A","\P 09h30-10h30 LUN. MER. JEU. 1 AVRIL AU 1 DEC."
"ST-AO","\P 07h-09h LUN. MER. VEN. 1 MARS AU 1 DEC."
"ST-AQ","\P 09h-12h MARDI MERCREDI VENDREDI"
"ST-AS","\P 09h-10h MARDI MERCREDI VENDREDI"
"ST-BB-A","\P 07h-09h MAR. JEU. DIM. 1 AVRIL AU 1 DEC."
"ST-BD","\P 08h-11h MAR. MER. VEN"
"ST-DA","\P 13h-15h30 LUN. MER. JEU."
"ST-JA","\P 09h-17h MAR. MER. VEN."
"ST-JB","\P 09h30-17h LUN. MER. JEU."
"ST-JC","\P 08h-16h LUNDI MERCREDI JEUDI"
"ST-JD","\P 09h-18h MAR. MER. VEN. 1 MARS AU 1 DEC."
"ST-JE","'\P 09h-18h MAR. MER. VEN."
"ST-JF","\P 9h-21h LUN. MER. VEN."
"ST-JJ","\P 09h-17h LUN. MER. JEU."
"ST-JN","\P 09h-18h LUN. MER. VEN."
"ST-JU","\P 09h-17h LUN. MER. VEN."
"ST-NA","\P 0h-7h LUNDI MARDI MERCREDI"
"ST-OA","\P 08h-17h JEUDI AU SAMEDI"
"ST-OB","\P 08h-17h LUNDI ET JEUDI"
"ST-OC","\P 08h-17h MARDI, MERCREDI ET VENDREDI"
"ST-ON","\P 7h-19h LUN. MER. VEN."
"ST-OO","\P 07h-16h LUN ET MER ET JEU"
"ST-PC","\P 13h-16h LUN. MER. JEU."
"ST-PG","\P 17h-18h LUN. MER. VEN. 1 MARS AU 1 DEC."
"ST-PH","\P 20h-21h LUN. MER. VEN. 1 MARS AU 1 DEC."
"ST-PJ","\P 22h-23h LUN. MER. VEN. 1 MARS AU 1 DEC."
"ST-PL","\P 14h-16h LUNDI MERCREDI JEUDI"
"ST-PP","\P 13h-14h MAR. MER. JEU."
"SU-AB","\P 08h30-11h30 LUNDI 1 MARS AU 1 DEC."
"SU-AB-A","\P 08h30-11h30 LUNDI 1AVRIL AU 1DEC."
"SU-AC-A","\P 08h30-11h30 MARDI 1 AVRIL AU 1 DEC."
"SU-AD-A","\P 08h-11h MER. 1 AVRIL AU 1 DEC."
"SU-AE-A","\P 08h30-11h30 MER. 1 AVRIL AU 1 DEC."
"SU-AF-A","\P 09h-11h MER. 1 AVRIL AU 1 DEC."
"SU-AH-A","\P 08h-11h JEU. 1 AVRIL AU 1 DEC."
"SU-AI","\P 08h30-11h30 JEU. 1 MARS AU 1 DEC."
"SU-AI-A","\P 08h30-11h30 JEU. 1 AVRIL AU 1 DEC."
"SU-AJ-A","\P 08h-11h VEN. 1 AVRIL AU 1 DEC."
"SU-AK-A","\P 08h30-11h30 VEN. 1 AVRIL AU 1 DEC."
"SU-AL-A","\P 07h30-10h30 MER. 1 AVRIL AU 1 DEC."
"SU-AM-A","\P 07h-10h VEN. 1 AVRIL AU 1 DEC."
"SU-AN-A","\P 07h-09h MARDI 1 AVRIL AU 1 DEC."
"SU-AO-A","\P 07h30-09h MARDI 1 AVRIL AU 1 DEC."
"SU-AP-A","\P 07h30-09h JEUDI 1 AVRIL AU 1 DEC."
"SU-AQ-A","\P 07h30-09h LUNDI 1 AVRIL AU 1 DEC."
"SU-AR","\P 07h30-09h MERCREDI 1 MARS AU 1 DEC."
"SU-AR-A","\P 07h30-09h MERCREDI 1 AVRIL AU 1 DEC."
"SU-AS-A","\P 08h-11h LUN. 1 AVRIL AU 1 DEC."
"SU-AT-A","\P 09h-11h LUNDI 1 AVRIL AU 1 DEC."
"SU-AU-A","\P 10h-12h LUNDI 1 AVRIL AU 1 DEC."
"SU-AV-A","\P 09h-11h MARDI 1 AVRIL AU 1 DEC."
"SU-AW-A","\P 10h-12h MARDI 1 AVRIL AU 1 DEC."
"SU-AX-A","\P 10h-12h MERCREDI 1 AVRIL AU 1 DEC."
"SU-AY-A","\P 09h-11h JEUDI 1 AVRIL AU 1 DEC."
"SU-AZ-A","\P 10h-12h JEUDI 1 AVRIL AU 1 DEC."
"SU-BA-A","\P 06h30-07h30 MERCREDI 1 AVRIL AU 1 DEC."
"SU-BF-A","\P 06h-07h MERCREDI 1 AVRIL AU 1 DEC."
"SU-BK-A","\P 08h-09h DIMANCHE 1 AVRIL AU 1 DEC."
"SU-BL-A","\P 08h-09h SAMEDI 1 AVRIL AU 1 DEC."
"SU-JA","\P 08h-09h JEU. 1 MARS AU 1 DEC."
"SU-JA-A","\P 08h-09h JEU. 1 AVRIL AU 1 DEC."
"SU-JB","\P 08h30-09h30 JEU. 1 MARS AU 1 DEC."
"SU-JB-A","\P 08h30-09h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JC","\P 09h-10h JEU. 1 MARS AU 1 DEC."
"SU-JC-A","\P 09h-10h JEU. 1 AVRIL AU 1 DEC."
"SU-JD","\P 09h30-10h30 JEU. 1 MARS AU 1 DEC."
"SU-JD-A","\P 09h30-10h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JD-A+F","\P 09h30-10h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JE","\P 10h-11h JEU. 1 MARS AU 1 DEC."
"SU-JE-A","\P 10h-11h JEU. 1 AVRIL AU 1 DEC."
"SU-JE-A+F","\P 10h-11h JEU. 1 AVRIL AU 1 DEC."
"SU-JF","\P 10h30-11h30 JEU. 1 MARS AU 1 DEC."
"SU-JF-A","\P 10h30-11h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JF-A+F","\P 10h30-11h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JG","\P 11h-12h JEU. 1 MARS AU 1 DEC."
"SU-JI","\P 09h-19h SAM."
"SU-JJ","\P 12h-13h JEU. 1 MARS AU 1 DEC."
"SU-JJ-A","\P 12h-13h JEU. 1 AVRIL AU 1 DEC."
"SU-JK","\P 12h30-13h30 JEU. 1 MARS AU 1 DEC."
"SU-JK-A","\P 12h30-13h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JL","\P 13h-14h JEU. 1 MARS AU 1 DEC."
"SU-JL-A","\P 13h-14h JEU. 1 AVRIL AU 1 DEC."
"SU-JL-A+F","\P 13h-14h JEU. 1 AVRIL AU 1 DEC."
"SU-JM","\P 13h30-14h30 JEU. 1 MARS AU 1 DEC."
"SU-JM-A","\P 13h30-14h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JM-A+F","\P 13h30-14h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JN","\P 14h-15h JEU. 1 MARS AU 1 DEC."
"SU-JN-A","\P 14h-15h JEU. 1 AVRIL AU 1 DEC."
"SU-JN-A+F","\P 14h-15h JEU. 1 AVRIL AU 1 DEC."
"SU-JO","\P 14h30-15h30 JEU. 1 MARS AU 1 DEC."
"SU-JO-A","\P 14h30-15h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JP","\P 15h-16h JEU. 1 MARS AU 1 DEC."
"SU-JQ","\P 15h30-16h30 JEU. 1 MARS AU 1 DEC."
"SU-JS","\P 07h-08h JEU. 1 MARS AU 1 DEC."
"SU-JS-A","\P 07h-08h JEU. 1 AVRIL AU 1 DEC."
"SU-JT","\P 07h30-08h30 JEU. 1 MARS AU 1 DEC."
"SU-JT-A","\P 07h30-08h30 JEU. 1 AVRIL AU 1 DEC."
"SU-JU","\P 09h-17h JEU."
"SU-JV","\P 09h-17h MER."
"SU-JX-A","\P 09h-17h LUNDI 1 AVRIL AU 1 DEC."
"SU-JY-A","\P 09h-17h MERCREDI 1 AVRIL AU 1 DEC."
"SU-JZ","\P 08h-18h LUNDI"
"SU-LA","\P 08h-09h LUN. 1 MARS AU 1 DEC."
"SU-LA-A","\P 08h-09h LUN. 1 AVRIL AU 1 DEC."
"SU-LB","\P 08h30-09h30 LUN. 1 MARS AU 1 DEC."
"SU-LB-A","\P 08h30-09h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LC","\P 09h-10h LUN. 1 MARS AU 1 DEC."
"SU-LC-A","\P 09h-10h LUN. 1 AVRIL AU 1 DEC."
"SU-LD","\P 09h30-10h30 LUN. 1 MARS AU 1 DEC."
"SU-LD-A","\P 09h30-10h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LD-A+F","\P 09h30-10h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LE","\P 10h-11h LUN. 1 MARS AU 1 DEC."
"SU-LE-A","\P 10h-11h LUN. 1 AVRIL AU 1 DEC."
"SU-LE-A+F","\P 10h-11h LUN. 1 AVRIL AU 1 DEC."
"SU-LF","\P 10h30-11h30 LUN. 1 MARS AU 1 DEC."
"SU-LF-A","\P 10h30-11h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LF-A+F","\P 10h30-11h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LG","\P 11h-12h LUN. 1 MARS AU 1 DEC."
"SU-LJ","\P 12h-13h LUN. 1 MARS AU 1 DEC."
"SU-LJ-A","\P 12h-13h LUN. 1 AVRIL AU 1 DEC."
"SU-LK","\P 12h30-13h30 LUN. 1 MARS AU 1 DEC."
"SU-LK-A","\P 12h30-13h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LK-A+F","\P 12h30-13h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LL","\P 13h-14h LUN. 1 MARS AU 1 DEC."
"SU-LL-A","\P 13h-14h LUN. 1 AVRIL AU 1 DEC."
"SU-LL-A+F","\P 13h-14h LUN. 1 AVRIL AU 1 DEC."
"SU-LM","\P 13h30-14h30 LUN. 1 MARS AU 1 DEC."
"SU-LM-A","\P 13h30-14h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LM-A+F","\P 13h30-14h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LN","\P 14h-15h LUN. 1 MARS AU 1 DEC."
"SU-LN-A","\P 14h-15h LUN. 1 AVRIL AU 1 DEC."
"SU-LO","\P 14h30-15h30 LUN. 1 MARS AU 1 DEC."
"SU-LO-A","\P 14h30-15h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LO-A+F","\P 14h30-15h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LP","\P 15h-16h LUN. 1 MARS AU 1 DEC."
"SU-LQ","\P 15h30-16h30 LUN. 1 MARS AU 1 DEC."
"SU-LS","\P 07h-08h LUN. 1 MARS AU 1 DEC."
"SU-LS-A","\P 07h-08h LUN. 1 AVRIL AU 1 DEC."
"SU-LT","\P 07h30-08h30 LUN. 1 MARS AU 1 DEC."
"SU-LT-A","\P 07h30-08h30 LUN. 1 AVRIL AU 1 DEC."
"SU-LU","\P 09h-10h DIM. 1 MARS AU 1 DEC."
"SU-LU-A","\P 09h-10h DIM. 1 AVRIL AU 1 DEC."
"SU-LV-A","\P 12h30-15h30 LUNDI 1AVRIL AU 1 DEC."
"SU-LW","\P 09h-15h LUN A SAM"
"SU-LX","\P 07h-19h JEUDI 1 MARS AU 1 DEC."
"SU-MA","\P 08h-09h MAR. 1 MARS AU 1 DEC."
"SU-MA-A","\P 08h-09h MAR. 1 AVRIL AU 1 DEC."
"SU-MB","\P 08h30-09h30 MAR. 1 MARS AU 1 DEC."
"SU-MB-A","\P 08h30-09h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MC","\P 09h-10h MAR. 1 MARS AU 1 DEC."
"SU-MC-A","\P 09h-10h MAR. 1 AVRIL AU 1 DEC."
"SU-MD","\P 09h30-10h30 MAR. 1 MARS AU 1 DEC."
"SU-MD-A","\P 09h30-10h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MD-A+F","\P 09h30-10h30 MAR. 1 AVRIL AU 1 DEC."
"SU-ME","\P 10h-11h MAR. 1 MARS AU 1 DEC."
"SU-ME-A","\P 10h-11h MAR. 1 AVRIL AU 1 DEC."
"SU-ME-A+F","\P 10h-11h MAR. 1 AVRIL AU 1 DEC."
"SU-MF","\P 10h30-11h30 MAR. 1 MARS AU 1 DEC."
"SU-MF-A","\P 10h30-11h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MF-A+F","\P 10h30-11h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MG","\P 11h-12h MAR. 1 MARS AU 1 DEC."
"SU-MJ","\P 12h-13h MAR. 1 MARS AU 1 DEC."
"SU-MJ-A","\P 12h-13h MAR. 1 AVRIL AU 1 DEC."
"SU-MK","\P 12h30-13h30 MAR. 1 MARS AU 1 DEC."
"SU-MK-A","\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MK-A+F","\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC."
"SU-ML","\P 13h-14h MAR. 1 MARS AU 1 DEC."
"SU-ML-A","\P 13h-14h MAR. 1 AVRIL AU 1 DEC."
"SU-ML-A+F","\P 13h-14h MAR. 1 AVRIL AU 1 DEC."
"SU-MM","\P 13h30-14h30 MAR. 1 MARS AU 1 DEC."
"SU-MM-A","\P 13h30-14h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MM-A+F","\P 13h30-14h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MN","\P 14h-15h MAR. 1 MARS AU 1 DEC."
"SU-MN-A","\P 14h-15h MAR. 1 AVRIL AU 1 DEC."
"SU-MN-A+F","\P 14h-15h MAR. 1 AVRIL AU 1 DEC."
"SU-MO","\P 14h30-15h30 MAR. 1 MARS AU 1 DEC."
"SU-MO-A","\P 14h30-15h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MO-A+F","\P 14h30-15h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MP","\P 15h-16h MAR. 1 MARS AU 1 DEC."
"SU-MQ","\P 15h30-16h30 MAR. 1 MARS AU 1 DEC."
"SU-MS-A","\P 07h-08h MAR. 1 AVRIL AU 1 DEC."
"SU-MT-A","\P 07h30-08h30 MAR. 1 AVRIL AU 1 DEC."
"SU-MV-A","\P 12h30-15h30 MARDI 1AVRIL AU 1DEC."
"SU-MW-A","\P 13h-15h MARDI 1AVRIL AU 1DEC."
"SU-NA","\P 08h-09h MER. 1 MARS AU 1 DEC."
"SU-NA-A","\P 08h-09h MER. 1 AVRIL AU 1 DEC."
"SU-NB","\P 08h30-09h30 MER. 1 MARS AU 1 DEC."
"SU-NB-A","\P 08h30-09h30 MER. 1 AVRIL AU 1 DEC."
"SU-NC","\P 09h-10h MER. 1 MARS AU 1 DEC."
"SU-NC-A","\P 09h-10h MER. 1 AVRIL AU 1 DEC."
"SU-ND","\P 09h30-10h30 MER. 1 MARS AU 1 DEC."
"SU-ND-A","\P 09h30-10h30 MER. 1 AVRIL AU 1 DEC"
"SU-ND-A+F","\P 09h30-10h30 MER. 1 AVRIL AU 1 DEC"
"SU-NE","\P 10h-11h MER. 1 MARS AU 1 DEC."
"SU-NE-A","\P 10h-11h MER. 1 AVRIL AU 1 DEC."
"SU-NE-A+F","\P 10h-11h MER. 1 AVRIL AU 1 DEC."
"SU-NF","\P 10h30-11h30 MER. 1 MARS AU 1 DEC."
"SU-NF-A","\P 10h30-11h30 MER. 1 AVRIL AU 1 DEC."
"SU-NG","\P 11h-12h MER. 1 MARS AU 1 DEC."
"SU-NH","\P 11h30-12h30 MER. 1 MARS AU 1 DEC."
"SU-NH-A","\P 11h30-12h30 MER. 1 AVRIL AU 1 DEC."
"SU-NI-A","\P 8h-11h MERCREDI 1 AVRIL AU 1 DEC."
"SU-NJ","\P 12h-13h MER. 1 MARS AU 1 DEC."
"SU-NJ-A","\P 12h-13h MER. 1 AVRIL AU 1 DEC."
"SU-NK","\P 12h30-13h30 MER. 1 MARS AU 1 DEC."
"SU-NK-A","\P 12h30-13h30 MER. 1 AVRIL AU 1 DEC."
"SU-NK-A+F","\P 12h30-13h30 MER. 1 AVRIL AU 1 DEC."
"SU-NL","\P 13h-14h MER. 1 MARS AU 1 DEC."
"SU-NL-A","\P 13h-14h MER. 1 AVRIL AU 1 DEC."
"SU-NL-A+F","\P 13h-14h MER. 1 AVRIL AU 1 DEC."
"SU-NM","\P 13h30-14h30 MER. 1 MARS AU 1 DEC."
"SU-NM-A","\P 13h30-14h30 MER. 1 AVRIL AU 1 DEC."
"SU-NM-A+F","\P 13h30-14h30 MER. 1 AVRIL AU 1 DEC."
"SU-NN","\P 14h-15h MER. 1 MARS AU 1 DEC."
"SU-NN-A","\P 14h-15h MER. 1 AVRIL AU 1 DEC."
"SU-NO","\P 14h30-15h30 MER. 1 MARS AU 1 DEC."
"SU-NO-A","\P 14h30-15h30 MER. 1 AVRIL AU 1 DEC."
"SU-NP","\P 15h-16h MER. 1 MARS AU 1 DEC."
"SU-NQ","\P 15h30-16h30 MER. 1 MARS AU 1 DEC."
"SU-NQ-A","\P 15h30-16h30 MER. 1 AVRIL AU 1 DEC."
"SU-NS","\P 07h-08h MER. 1 MARS AU 1 DEC."
"SU-NS-A","\P 07h-08h MER. 1 AVRIL AU 1 DEC."
"SU-NT-A","\P 07h30-08h30 MER. 1 AVRIL AU 1 DEC."
"SU-NU","\P 13h-16h MERCREDI DU 15 AVRIL AU 15 NOVEMBRE"
"SU-NW-A","\P 01h-02h LUNDI 1 AVRIL AU 1 DEC."
"SU-NX-A","\P 01h-02h DIMANCHE 1 AVRIL AU 1 DEC."
"SU-OA","\P 8h-16h SAMEDI  "
"SU-OB","\P 09h-17h VENDREDI"
"SU-OC","\P 9h-21h LUN."
"SU-OD","\P 09h-15h JEUDI"
"SU-OE","\P 07h-19h MARDI"
"SU-OF","\P 07h-19h LUNDI 1 MARS AU 1 DEC."
"SU-PD-A","\P 13h-16h MARDI 1 AVRIL AU 1 DEC."
"SU-PF-A","\P 12h30-15h30 MER. 1 AVRIL AU 1 DEC."
"SU-PG-A","\P 13h-16h MER. 1 AVRIL AU 1 DEC."
"SU-PH","\P 12h30-15h30 JEU. 1 MARS AU 1 DEC."
"SU-PH-A","\P 12h30-15h30 JEU. 1 AVRIL AU 1 DEC."
"SU-PI-A","\P 12h30-15h30 VEN. 1 AVRIL AU 1 DEC."
"SU-PJ-A","\P 13h-16h VEN. 1 AVRIL AU 1 DEC."
"SU-PL-A","\P 16h30-17h30 MARDI 1 AVRIL AU 1 DEC"
"SU-PM-A","\P 12h30-14h30 LUNDI 1 AVRIL AU 1 DEC."
"SU-PN-A","\P 13h30-15h30 LUNDI 1 AVRIL AU 1 DEC."
"SU-PO-A","\P 12h30-14h30 AVRIL 1 MARS AU 1 DEC."
"SU-PP-A","\P 13h30-15h30 MARDI 1 AVRIL AU 1 DEC."
"SU-PQ-A","\P 12h30-14h30 MERCREDI 1 AVRIL AU 1 DEC."
"SU-PR-A","\P 13h30-15h30 MERCREDI 1 AVRIL AU 1 DEC."
"SU-PS-A","\P 12h30-14h30 JEUDI 1 AVRIL AU 1 DEC."
"SU-PT-A","\P 13h30-15h30 JEUDI 1 AVRIL AU 1 DEC."
"SU-SA","\P 19h-20h LUN. 1 MARS AU 1 DEC."
"SU-SA-A","\P 19h-20h LUN. 1 AVRIL AU 1 DEC."
"SU-SB","\P 19h-20h MAR. 1 MARS AU 1 DEC."
"SU-SB-A","\P 19h-20h MAR. 1 AVRIL AU 1 DEC."
"SU-SD","\P 19h-20h JEU. 1 MARS AU 1 DEC."
"SU-SD-A","\P 19h-20h JEU. 1 AVRIL AU 1 DEC."
"SU-SF-A","\P 19h30-20h30 LUN. 1 AVRIL AU 1 DEC."
"SU-SF-A+F","\P 19h30-20h30 LUN. 1 AVRIL AU 1 DEC."
"SU-SG","\P 19h30-20h30 MAR.1 MARS AU 1 DEC."
"SU-SG-A","\P 19h30-20h30 MAR.1 AVRIL AU 1 DEC."
"SU-SH","\P 19h30-20h30 MER. 1 MARS AU 1 DEC."
"SU-SH-A","\P 19h30-20h30 MER. 1AVRIL AU 1 DEC."
"SU-SH-A+F","\P 19h30-20h30 MER. 1AVRIL AU 1 DEC."
"SU-SI","\P 19h30-20h30 JEU. 1 MARS AU 1 DEC."
"SU-SI-A","\P 19h30-20h30 JEU. 1 AVRIL AU 1 DEC."
"SU-SJ","\P 19h30-20h30 VEN. 1 MARS AU 1 DEC."
"SU-SK","\P 20h-21h LUN. 1 MARS AU 1 DEC."
"SU-SK-A","\P 20h-21h LUN. 1 AVRIL AU 1 DEC."
"SU-SK-A+F","\P 20h-21h LUN. 1 AVRIL AU 1 DEC."
"SU-SL","\P 20h-21h MAR. 1 MARS AU 1 DEC."
"SU-SM","\P 20h-21h MER. 1 MARS AU 1 DEC."
"SU-SM-A","\P 20h-21h MER. 1 AVRIL AU 1 DEC."
"SU-SM-A+F","\P 20h-21h MER. 1 AVRIL AU 1 DEC."
"SU-SO","\P 20h-21h VEN. 1 MARS AU 1 DEC."
"SU-SP","\P 20h30 A 21h30 JEUDI 1ER MARS AU 1ER DEC."
